site	machine_name	count
tsys	ORPG	22
tsys	ORPH	3
tsys	ORPJ	6
tsys	SA	18
ttec	FW	18
umeg	OR	8
unpc	FW2	2
vdh	NA	1
vdh	NA2	7
verc	FW	11
verc	FW2	20
verc	NA	6
verc	NA2	16
verc	NA3	4
verc	ORPG	6
verc	ORPJ	3
verc	SA	16
vmax	FW	2
vmax	FW2	4
vmax	NA2	1
vmax	NA3	1
vmax	OR	2
vmax	SA	2
vntg	FW	1
vntg	NA3	1
voyg	NA3	9
voyg	ORPF	12
voyg	ORPG	6
voyg	ORPJ	6
vpnt	NA2	2
vpnt	OR	1
vrad	FW2	3
vrad	NA	3
vrad	NA2	9
vrad	NA3	3
vrad	OR	15
vris	FW	1
vris	FW2	3
vris	NA2	2
vris	NA3	2
vscm	OR	2
vtrs	FW	2
vtrs	NA3	4
vtrs	SA	4
vwtr	ORPJ	1
wexp	FW2	5
wexp	NA	3
wexp	NA2	1
wexp	NA3	4
wexp	OR	10
wexp	ORPF	6
wexp	ORPG	5
wexp	SA	8
wpth	FW	1
xcel	FW2	2
xcel	ORPF	2
xcel	SA	3
zvis	NA3	3
